image_indx,time [min],x center [um],y center [um],x span [um],y span [um],area [um^2],outline [um],ramification index,spanned area (convex hull) [um^2],spanned outline (convex hull) [um],spanned area center x (convex hull) [um],spanned area center y (convex hull) [um],polarity vector x (binary) [um],polarity vector y (binary) [um],polarity vector length (binary) [um],polarity index (binary),ID of largest skeleton (skl),# found skls,# branches (largest skl),# junctions (largest skl),# tips (largest skl),# triple points (largest skl),# quadruple points (largest skl),# junction voxels (largest skl),# slab voxels (largest skl),tree length (largest skl) [um],average branch length (largest skl) [um],maximum branch length (largest skl) [um],shortest path (largest skl) [um],# branches (all skls),# junctions (all skls),# tips (all skls),# triple points (all skls),# quadruple points (all skls),# junction voxels (all skls),# slab voxels (all skls),tree length (all skls) [um],average branch length (all skls) [um],maximum branch length (all skls) [um],shortest path (all skl) [um]
0,0.0,16.044882,13.662761,31.692,32.109,422.202492,160.128,2.198376,614.871504,125.934,15.911451,13.247298,-0.133431,-0.415464,0.436364,0.015596,1,1,5,2,4,2,0,2,106,52.951809,10.590362,20.86736,35.52163,5,2,4,2,0,2,106,52.951809,10.590362,20.86736,35.52163
1,0.0,11.265404,14.772348,21.684,42.534,458.545293,147.618,1.944658,630.173736,126.768,9.916522,18.116947,-1.348882,3.344599,3.606359,0.127316,1,1,1,0,2,0,0,0,74,36.284085,36.284085,36.284085,36.284085,1,0,2,0,0,0,74,36.284085,36.284085,36.284085,36.284085
2,0.0,18.816225,9.058745,36.279,17.514,362.384676,135.108,2.002125,443.243061,105.084,19.577487,9.344056,0.761263,0.285311,0.812972,0.034222,1,1,3,1,3,1,0,3,83,42.223266,14.074422,23.339725,33.406995,3,1,3,1,0,3,83,42.223266,14.074422,23.339725,33.406995
3,0.0,13.975307,10.122089,25.437,22.935,337.170771,112.59,1.729697,385.859691,95.076,14.105932,10.07086,0.130625,-0.051229,0.140312,0.00633,1,1,3,1,3,1,0,1,56,27.53936,9.179787,12.051089,21.945633,3,1,3,1,0,1,56,27.53936,9.179787,12.051089,21.945633
4,0.0,16.660455,17.026724,30.441,41.7,591.744267,170.97,1.982659,835.884423,141.78,16.64118,20.021595,-0.019275,2.994871,2.994933,0.091803,1,1,3,1,3,1,0,3,105,52.606355,17.535452,44.826447,50.175901,3,1,3,1,0,3,105,52.606355,17.535452,44.826447,50.175901
5,0.0,12.794026,22.473991,26.271,40.449,383.077467,158.46,2.28387,611.915391,130.938,13.656069,20.745069,0.862043,-1.728922,1.931913,0.069213,1,1,5,2,4,2,0,4,116,58.200082,11.640016,19.729816,40.180176,5,2,4,2,0,4,116,58.200082,11.640016,19.729816,40.180176
6,0.0,12.19022,9.596983,24.186,18.765,242.401266,102.582,1.858655,314.73909,84.234,12.821713,9.695135,0.631493,0.098152,0.639075,0.031924,1,1,3,1,3,1,0,3,38,20.86736,6.955787,9.793362,16.524633,3,1,3,1,0,3,38,20.86736,6.955787,9.793362,16.524633
7,0.0,9.737286,6.285686,18.765,13.761,172.497888,65.052,1.397217,175.454001,63.384,9.548225,6.417213,-0.189061,0.131526,0.230311,0.015409,1,1,1,0,2,0,0,0,18,8.786635,8.786635,8.786635,8.786635,1,0,2,0,0,0,18,8.786635,8.786635,8.786635,8.786635
8,0.0,43.427628,12.220052,70.056,25.02,646.345413,278.556,3.090831,1326.425292,188.484,38.61197,11.319899,-4.815658,-0.900153,4.899065,0.119211,1,1,9,4,6,4,0,8,209,104.450256,11.605584,25.281633,76.78008,9,4,6,4,0,8,209,104.450256,11.605584,25.281633,76.78008
9,0.0,29.157856,20.618072,67.971,51.291,786.152169,334.434,3.364745,2103.709122,236.856,30.238946,23.425487,1.08109,2.807415,3.008377,0.058128,1,1,9,4,6,4,0,10,256,124.120802,13.7912,22.303362,81.164717,9,4,6,4,0,10,256,124.120802,13.7912,22.303362,81.164717
10,0.0,7.935658,22.381522,23.769,44.202,498.365874,168.468,2.128817,693.81711,134.274,9.186019,22.631186,1.25036,0.249664,1.275042,0.042899,1,1,6,3,3,3,0,3,137,67.18908,11.19818,17.489449,41.621263,6,3,3,3,0,3,137,67.18908,11.19818,17.489449,41.621263
11,0.0,14.93176,11.901303,31.692,28.773,470.369745,126.768,1.648865,571.225365,119.262,14.556981,12.992565,-0.374779,1.091262,1.153824,0.042784,1,1,3,1,3,1,0,1,69,33.478541,11.159514,20.420725,29.034633,3,1,3,1,0,1,69,33.478541,11.159514,20.420725,29.034633
12,0.0,25.639045,10.731433,47.955,22.518,393.163029,185.982,2.645938,791.890506,139.278,23.219043,12.641675,-2.420001,1.910241,3.083088,0.097095,1,1,5,2,4,2,0,4,122,60.702082,12.140416,35.52163,54.905993,5,2,4,2,0,4,122,60.702082,12.140416,35.52163,54.905993
13,0.0,17.567104,14.996852,31.275,34.611,426.02805,162.63,2.222678,718.335459,130.104,18.634227,14.476138,1.067123,-0.520713,1.18739,0.039262,1,1,3,1,3,1,0,3,99,51.658899,17.219633,20.968541,36.873812,3,1,3,1,0,3,99,51.658899,17.219633,20.968541,36.873812
14,0.0,8.259971,11.646721,17.931,22.101,204.319575,116.76,2.304274,273.875175,78.396,7.793664,11.327441,-0.466308,-0.31928,0.56514,0.030264,1,1,3,1,2,0,1,6,71,41.381356,13.793785,23.84563,17.535726,3,1,2,0,1,6,71,41.381356,13.793785,23.84563,17.535726
15,0.0,17.082863,15.769931,37.53,31.275,592.439823,174.306,2.020158,853.968879,135.942,19.026145,14.544181,1.943282,-1.225751,2.297566,0.069677,1,1,7,3,5,3,0,3,122,62.458988,8.922713,22.004903,43.360809,7,3,5,3,0,3,122,62.458988,8.922713,22.004903,43.360809
